Time (s),Real Voltage (V),AIN1 (V)
40.22866439819336,2.867337293428136,2.8676300048828125
40.657098054885864,2.8665469358384144,2.866839647293091
41.08021640777588,2.8669421233062167,2.8671557903289795
41.505237340927124,2.8664677808701526,2.866760492324829
41.92990303039551,2.8667839239060413,2.8670766353607178
42.35493302345276,2.866151637834264,2.8664443492889404
42.781991958618164,2.8667050073563587,2.866997718811035
43.20504426956177,2.8664679087523837,2.8666815757751465
43.6321063041687,2.8664677808701526,2.866760492324829
44.05621385574341,2.8665469358384144,2.866839647293091
44.48117756843567,2.866625852388097,2.8669185638427734
44.904276847839355,2.8664677808701526,2.866760492324829
45.32928466796875,2.866863078874303,2.8671557903289795
45.744385719299316,2.8667840517882723,2.866997718811035
46.1584358215332,2.8667050073563587,2.866997718811035
46.576496839523315,2.8667050073563587,2.866997718811035
46.993558168411255,2.8667050073563587,2.866997718811035
47.40756678581238,2.866625980270328,2.866839647293091
47.8240807056427,2.8671792219101917,2.867471933364868
48.23813343048096,2.866863078874303,2.8671557903289795
48.64992809295654,2.8669421233062167,2.8671557903289795
49.063828229904175,2.866863078874303,2.8671557903289795
49.47930860519409,2.8670210398558993,2.867234706878662
49.8923454284668,2.8667839239060413,2.8670766353607178
50.30540895462036,2.8667839239060413,2.8670766353607178
50.72346234321594,2.8669419954239856,2.867234706878662
51.14009928703308,2.8667048968200106,2.8669185638427734
51.55515146255493,2.8667048968200106,2.8669185638427734
51.970165967941284,2.866625852388097,2.8669185638427734
